question_text,expected_answer,technology,bloom_level,bloom_score,complexity_score
What is the switch statement in Java?,"Switch statement provides multi-way branching based on the value of an expression. It supports byte, short, int, char, String, and enum types. Each case must end with break to prevent fall-through.",java,Remember,1,3
What is the difference between while and do-while loops?,"while loop checks condition before execution and may not execute at all. do-while loop executes the body first, then checks condition, guaranteeing at least one execution.",java,Analyze,4,2
What is the enhanced for loop (for-each) in Java?,"Enhanced for loop simplifies iteration over arrays and collections. Syntax: for(Type element : collection). It's read-only, more readable, and eliminates index-related errors but doesn't provide access to the index.",java,Remember,1,3
What is the difference between Array and ArrayList?,"Arrays have fixed size, can store primitives and objects, and provide direct memory access. ArrayList has dynamic size, stores only objects (using autoboxing for primitives), and provides additional methods like add(), remove().",java,Analyze,4,4
What is multidimensional array in Java?,Multidimensional arrays are arrays of arrays. Common types include 2D arrays (int[][]) representing matrices. They can be jagged (irregular) or rectangular. Declaration: int[][] arr = new int[rows][columns].,java,Remember,1,4
What is the difference between length and length() in Java?,"length is a property of arrays that returns the number of elements. length() is a method of String class that returns the number of characters. Arrays use property, Strings use method.",java,Analyze,4,2
"What is the difference between public, protected, default, and private access modifiers?",public: accessible everywhere. protected: accessible within package and subclasses. default (package-private): accessible within package only. private: accessible within same class only. They control visibility and encapsulation.,java,Analyze,4,3
What is the super keyword in Java?,"super keyword refers to the parent class. It's used to access parent class methods, constructors, and variables. super() calls parent constructor and must be the first statement in child constructor.",java,Remember,1,3
What is the this keyword in Java?,"this keyword refers to the current object instance. It's used to access instance variables, call other constructors in the same class, and pass current object as parameter. this() calls another constructor.",java,Remember,1,2
What is method chaining in Java?,"Method chaining is a technique where methods return the current object (this), allowing multiple method calls to be linked together. It creates fluent interfaces and makes code more readable and concise.",java,Remember,1,4
What is the difference between instance method and static method?,"Instance methods belong to objects, can access instance variables and other instance methods. Static methods belong to the class, cannot access instance variables directly, and can be called without creating objects.",java,Analyze,4,3
What is method hiding in Java?,"Method hiding occurs when a subclass defines a static method with the same signature as a static method in the parent class. Unlike overriding, the method called depends on the reference type, not the object type.",java,Remember,1,5
What is covariant return type in Java?,Covariant return type allows overriding methods to return a subtype of the return type declared in the parent method. This feature was introduced in Java 5 and maintains type safety while providing flexibility.,java,Remember,1,6
What is the difference between method overloading and method overriding?,"Method overloading: same method name, different parameters, compile-time polymorphism, same class. Method overriding: same signature, different implementation, runtime polymorphism, inheritance required.",java,Analyze,4,4
What is the difference between early binding and late binding?,"Early binding (static binding) resolves method calls at compile time, used for static, private, and final methods. Late binding (dynamic binding) resolves method calls at runtime, used for virtual methods and enables polymorphism.",java,Analyze,4,7
What is the difference between constructor and method?,"Constructor has same name as class, no return type, called automatically when object is created. Method has any name, has return type, called explicitly. Constructor initializes objects, methods perform operations.",java,Analyze,4,3
What is constructor chaining in Java?,"Constructor chaining is calling one constructor from another constructor using this() or super(). this() calls another constructor in the same class, super() calls parent constructor. The call must be the first statement.",java,Remember,1,4
What is the difference between default constructor and parameterized constructor?,"Default constructor takes no parameters and provides default initialization. Parameterized constructor takes parameters and allows custom initialization. If no constructor is defined, Java provides a default constructor.",java,Analyze,4,3
What is the difference between static block and instance block?,"Static block executes once when class is loaded, used for static initialization. Instance block executes before every constructor call, used for instance initialization. Static blocks execute before instance blocks.",java,Analyze,4,5
What is the order of execution in Java?,"Execution order: 1) Static blocks and variables (when class loads), 2) Instance blocks and variables (when object created), 3) Constructor. Within same type, execution follows declaration order.",java,Remember,1,5
What is the difference between instance variable and class variable?,"Instance variables are unique to each object, stored in heap memory. Class variables (static) are shared among all objects, stored in method area. Instance variables are created with objects, class variables when class loads.",java,Analyze,4,4
What is the difference between pass by value and pass by reference?,"Java is always pass by value. For primitives, the value is copied. For objects, the reference value (memory address) is copied, not the object itself. Modifications to object state affect the original, but reassigning the reference doesn't.",java,Analyze,4,6
What is the difference between JIT compiler and interpreter?,"Interpreter executes bytecode line by line, slower but immediate execution. JIT compiler compiles frequently used bytecode to native machine code for faster execution. JVM uses both: interpreter for initial execution, JIT for optimization.",java,Analyze,4,8
What is the difference between String literal and String object?,"String literals are stored in string pool and reused for same values. String objects created with 'new' are stored in heap memory. Literals enable memory optimization through interning, objects guarantee unique instances.",java,Analyze,4,5
What is immutable class in Java?,"Immutable class objects cannot be modified after creation. Requirements: final class, private final fields, no setters, defensive copying for mutable fields. Examples: String, Integer, LocalDate. Benefits: thread safety, caching, security.",java,Remember,1,5
What is marker interface in Java?,"Marker interface has no methods and marks classes for specific treatment. Examples: Serializable, Cloneable, Remote. They provide metadata to JVM or frameworks about class capabilities without enforcing method implementation.",java,Remember,1,4
"What is the difference between JVM, JRE, and JDK?","JVM executes Java bytecode and provides runtime environment. JRE includes JVM plus libraries needed to run Java applications. JDK includes JRE plus development tools (compiler, debugger) needed to develop Java applications.",java,Analyze,4,3
What is the Java Memory Model and how does it support multithreaded applications?,"The Java Memory Model (JMM) defines how threads interact through memory and what behaviors are allowed in concurrent execution. It specifies rules for visibility, ordering, and atomicity of shared variables. The JMM ensures that changes made by one thread are visible to other threads through proper synchronization mechanisms like volatile, synchronized blocks, and explicit locks.",java,Remember,1,9
How do you create a thread-safe singleton class in Java?,"A thread-safe singleton can be created using: 1) Synchronized method approach, 2) Double-checked locking with volatile keyword, 3) Enum-based singleton (recommended), 4) Initialization-on-demand holder idiom, or 5) Using concurrent utilities like AtomicReference. The enum approach is preferred as it handles serialization and thread-safety automatically.",java,Remember,1,7
What is the difference between ConcurrentHashMap and HashMap in multithreaded environments?,HashMap is not thread-safe and can cause infinite loops or data corruption in multithreaded environments. ConcurrentHashMap uses segment-based locking (Java 7) or CAS operations with synchronized blocks (Java 8+) to provide thread-safe operations with better performance than synchronized HashMap. It allows concurrent reads and limited concurrent writes.,java,Analyze,4,7
Explain the concept of CompletableFuture and its use cases.,"CompletableFuture is a powerful asynchronous programming tool introduced in Java 8. It represents a future result of an asynchronous computation and provides methods for combining, chaining, and handling multiple asynchronous operations. Use cases include non-blocking I/O operations, parallel processing, and building reactive applications with better resource utilization.",java,Understand,2,8
What is the difference between CountDownLatch and CyclicBarrier?,"CountDownLatch is a one-time synchronization aid where threads wait for a count to reach zero. It cannot be reused. CyclicBarrier allows a set of threads to wait for each other to reach a common barrier point and can be reused. CountDownLatch is used for 'wait for N operations to complete', while CyclicBarrier is for 'wait for N threads to be ready'.",java,Analyze,4,7
How do you handle memory leaks in Java applications?,"Memory leaks occur when objects are unintentionally retained in memory. Prevention strategies include: 1) Properly closing resources using try-with-resources, 2) Removing listeners and callbacks, 3) Clearing static collections, 4) Using weak references for caches, 5) Profiling with tools like JVisualVM or Eclipse MAT, and 6) Implementing proper object lifecycle management.",java,Apply,3,8
What is the difference between Optional and null in Java?,"Optional is a container class introduced in Java 8 that represents the presence or absence of a value without using null. It provides methods like isPresent(), ifPresent(), map(), and orElse() to handle absent values gracefully. Optional helps prevent NullPointerException and makes code more expressive and safer than traditional null checks.",java,Analyze,4,5
Explain the concept of method references in Java 8.,"Method references provide a shorthand syntax for lambda expressions that call a single method. Types include: 1) Static method references (Class::staticMethod), 2) Instance method references (object::instanceMethod), 3) Constructor references (Class::new), and 4) Arbitrary object method references (Class::instanceMethod). They improve code readability and reusability.",java,Understand,2,4
What is the difference between fail-fast and fail-safe iterators with examples?,"Fail-fast iterators (ArrayList, HashMap) throw ConcurrentModificationException when the collection is modified during iteration. They work on the original collection. Fail-safe iterators (ConcurrentHashMap, CopyOnWriteArrayList) work on a copy of the collection and don't throw exceptions but may not reflect recent changes. Example: ArrayList iterator vs ConcurrentHashMap iterator.",java,Analyze,4,6
How do you implement a custom exception in Java?,"Custom exceptions are created by extending Exception (checked) or RuntimeException (unchecked). Best practices include: 1) Providing meaningful names, 2) Including multiple constructors, 3) Adding custom fields for additional context, 4) Implementing proper serialization, and 5) Following the exception hierarchy appropriately based on whether it should be checked or unchecked.",java,Create,6,5
What is React?,"React is an efficient, flexible, and open-source JavaScript library that allows developers to create simple, fast, and scalable web applications. It was created by Jordan Walke, a software engineer working for Facebook, and is used to build reusable components for the view layer in the MVC architecture.",react,Remember,1,2
What are the main features of React?,"React's main features include: Virtual DOM for efficient updates and rendering, Component-Based Architecture for reusable and modular code, JSX syntax extension for describing UI, One-way data binding for predictable data flow, and High performance through selective component updates rather than full re-renders.",react,Remember,1,2
What is JSX?,"JSX is a syntax extension of JavaScript used with React to describe the user interface's appearance. Using JSX, developers can write HTML structures in the same file that contains JavaScript code, making it easier to create and visualize UI components.",react,Remember,1,3
Can web browsers read JSX directly?,"No, web browsers cannot read JSX directly. JSX needs to be transpiled into regular JavaScript before browsers can understand it. This is typically done using tools like Babel during the build process.",react,Remember,1,3
What is the Virtual DOM?,"The Virtual DOM is a lightweight representation of the real DOM kept in memory. When an object's state changes, the virtual DOM changes only that object in the real DOM rather than updating all objects, resulting in better performance through efficient diffing and selective updates.",react,Remember,1,5
What are components in React?,"Components are the building blocks of any React application. A single app usually consists of multiple components that split the user interface into independent, reusable parts that can be processed separately, promoting modularity and maintainability.",react,Remember,1,2
What are the types of components in React?,React has two main types of components: Functional Components (simple JavaScript functions that return JSX) and Class Components (ES6 classes that extend React.Component and have additional features like state and lifecycle methods).,react,Remember,1,3
What are props in React?,Props (properties) are read-only inputs passed to components that allow data to be passed from parent to child components. They help make components reusable and dynamic by providing external data and configuration.,react,Remember,1,2
What is the difference between state and props?,State is internal data managed by the component that can change over time and triggers re-renders when modified. Props are external data passed to the component from its parent that is read-only and cannot be modified by the receiving component.,react,Analyze,4,4
What are Pure Components?,"Pure Components are components that only re-render when their props or state actually change, providing performance optimization by preventing unnecessary re-renders. They implement a shallow comparison of props and state to determine if re-rendering is needed.",react,Remember,1,5
What is state in React?,"State is an object that holds data that can change over the lifetime of a component. When state changes, the component re-renders to reflect the new data, making the UI reactive to data changes.",react,Remember,1,3
What is the useState Hook?,"useState is a React Hook that allows functional components to manage state. It returns an array with the current state value and a function to update it, enabling state management in functional components without converting to class components.",react,Remember,1,4
What is lifting state up?,Lifting state up is a technique that allows state sharing among multiple components by moving the state from individual components to their parent and passing it down to the components. This helps synchronize data across components and establishes a single source of truth.,react,Remember,1,5
What are controlled components?,"Controlled components are form elements whose values are controlled by React state. The component manages the form data through React's state mechanism, making React the single source of truth for form data and enabling predictable form behavior.",react,Remember,1,4
What are uncontrolled components?,"Uncontrolled components are form elements that maintain their own internal state and are not controlled by React state. They use refs to access form values directly from the DOM, similar to traditional HTML form handling.",react,Remember,1,4
What are React Hooks?,"React Hooks are functions that allow functional components to use state and other React features without writing a class. They enable functional components to manage state, side effects, and lifecycle events, making functional programming more powerful in React.",react,Remember,1,5
What are the different types of Hooks?,"There are two broad types of hooks: Built-in hooks (including basic hooks like useState, useContext, useEffect, and additional hooks like useMemo, useRef, useCallback) and Custom hooks (JavaScript functions that work similarly to regular functions but can use other hooks).",react,Remember,1,4
When should you use useMemo()?,"useMemo() should be used to perform expensive calculations and for referential equality, including passing complex objects as props to child components. It memoizes the result of a calculation and only recalculates when dependencies change, improving performance.",react,Evaluate,5,7
What is the useEffect Hook?,"useEffect is a Hook that allows you to perform side effects in functional components, such as data fetching, subscriptions, or manually changing the DOM. It combines the functionality of componentDidMount, componentDidUpdate, and componentWillUnmount lifecycle methods.",react,Remember,1,5
What is the useContext Hook?,useContext is a Hook that allows you to consume React Context values without needing to wrap components in Consumer components. It provides a cleaner way to access context values in functional components.,react,Remember,1,5
What are synthetic events in React?,"Synthetic events are React's wrapper around native DOM events that provide a consistent API across different browsers. They have the same interface as native events but work consistently across all browsers, handling cross-browser compatibility automatically.",react,Remember,1,6
How is event handling different in React?,"React uses synthetic events and event delegation. Event handlers are passed as props to JSX elements, and React handles the binding and cross-browser compatibility automatically. Events are attached to the document root and managed centrally.",react,Understand,2,5
How do you handle forms in React?,"Forms in React are typically handled using controlled components where form data is managed by React state. You create state for form values, bind input values to state, and handle changes with event handlers to maintain synchronization between form inputs and component state.",react,Apply,3,4
What are Higher-Order Components (HOCs)?,"Higher-Order Components are functions that take a component and return a new component with additional props or functionality. They're used for code reuse and cross-cutting concerns like authentication, logging, or data fetching.",react,Remember,1,7
What are React Fragments?,"React Fragments allow you to group multiple elements without adding extra nodes to the DOM. They provide a way to return multiple elements from a component without a wrapper div, keeping the DOM structure clean.",react,Remember,1,3
What is React reconciliation?,Reconciliation is the process by which React updates the DOM by comparing the new virtual DOM tree with the previous virtual DOM tree and making only the necessary changes. This diffing algorithm ensures efficient updates and optimal performance.,react,Remember,1,7
What is React Fiber?,"React Fiber is a reimplementation of React's core algorithm that enables features like incremental rendering, better error handling, and priority-based updates. It allows React to pause, abort, or reuse work as new updates come in.",react,Remember,1,9
What are portals in React?,"Portals provide a way to render children into a DOM node that exists outside the DOM hierarchy of the parent component. They're useful for modals, tooltips, and dropdowns that need to break out of their parent container's styling constraints.",react,Remember,1,6
How do you optimize React performance?,"React performance can be optimized by using React.memo for functional components, implementing useMemo and useCallback for expensive calculations, using proper key props in lists, avoiding unnecessary re-renders, and implementing code splitting with React.lazy.",react,Remember,1,6
What is the purpose of keys in React lists?,"Keys help React identify which items have changed, been added, or removed in lists. They should be stable, predictable, and unique among siblings to optimize rendering performance and maintain component state correctly during list updates.",react,Remember,1,4
What is the Shallow Renderer in React testing?,Shallow rendering is a testing utility that renders a component 'one level deep' without rendering child components. It's useful for isolated unit testing where you want to test a component without worrying about the behavior of child components.,react,Remember,1,6
What is Jest?,"Jest is a JavaScript testing framework commonly used with React applications. It provides features like snapshot testing, mocking, code coverage reporting, and a comprehensive assertion library for testing React components and JavaScript functions.",react,Remember,1,3
What is Redux?,"Redux is a state management library for JavaScript applications that centralizes application state in a store. Components access and update state through actions and reducers, providing predictable state management and time-travel debugging capabilities.",react,Remember,1,5
What are the components of Redux?,"Redux has three main components: Store (holds the application state), Actions (describe what to do and carry payload data), and Reducers (define how the state changes in response to actions by returning a new state).",react,Remember,1,5
What is the difference between Context API and Redux?,"Context API is simpler and suitable for less complex applications with built-in React functionality, while Redux is more robust with middleware support, dev tools, and global store, making it better for complex, scalable state management with time-travel debugging.",react,Analyze,4,6
What is React Router?,"React Router is a library for handling client-side routing in React applications. It enables navigation between different views or components without full page reloads, providing a single-page application experience with URL-based navigation.",react,Remember,1,4
How do you implement programmatic navigation?,Programmatic navigation can be implemented using the useNavigate hook (React Router v6) or history.push method (React Router v5). These allow you to navigate to different routes programmatically in response to user actions or application logic.,react,Create,6,5
What are common folder structures for React?,"Common structures include feature-based organization (grouping by features/modules), file-type organization (separating by components, hooks, utils), and domain-driven organization (organizing by business domains). The choice depends on project size and team preferences.",react,Remember,1,3
Why should component names start with a capital letter?,Component names must start with a capital letter because React treats components starting with lowercase letters as DOM tags. This is a JSX requirement that helps React distinguish between custom components and native HTML elements.,react,Remember,1,2
What are the advantages of React?,"React offers reusable components for modularity, Virtual DOM for better performance, strong community and ecosystem support, unidirectional data flow for predictability, easy learning curve, server-side rendering support, and excellent developer tools for debugging and development.",react,Remember,1,2
What is the difference between React.Component and React.PureComponent?,"React.Component is the base class for class components that re-renders on every state or props change. React.PureComponent automatically implements shouldComponentUpdate with a shallow prop and state comparison, preventing unnecessary re-renders when data hasn't actually changed.",react,Analyze,4,6
What is the useReducer hook and when would you use it?,"useReducer is a React Hook that provides an alternative to useState for managing complex state logic. It's preferred when you have complex state transitions, multiple sub-values, or when the next state depends on the previous one. It accepts a reducer function and initial state, returning current state and dispatch function.",react,Evaluate,5,7
What is React.StrictMode and why is it useful?,"React.StrictMode is a wrapper component that helps identify potential problems in an application by running additional checks and warnings in development mode. It helps detect unsafe lifecycles, deprecated API usage, and side effects in render methods without affecting the production build.",react,Analyze,4,5
What are React Error Boundaries?,"Error Boundaries are React components that catch JavaScript errors anywhere in their child component tree, log those errors, and display a fallback UI instead of crashing the entire application. They're implemented using componentDidCatch or getDerivedStateFromError lifecycle methods.",react,Remember,1,7
What is the difference between componentDidMount and useEffect?,"componentDidMount is a class component lifecycle method that runs once after the component mounts. useEffect is a Hook that can replicate componentDidMount behavior when used with an empty dependency array, but it's more versatile as it can handle multiple lifecycle events and dependencies.",react,Analyze,4,5
What is React.memo and how does it work?,"React.memo is a higher-order component that memoizes the rendered output of a functional component. It only re-renders if its props have changed, using shallow comparison by default. You can provide a custom comparison function as the second argument for more control.",react,Analyze,4,6
What is the useCallback hook and when should you use it?,useCallback is a React Hook that returns a memoized version of a callback function that only changes if one of its dependencies has changed. It's useful for preventing unnecessary re-renders of child components that rely on referential equality checks.,react,Evaluate,5,7
What is Server-Side Rendering (SSR) in React?,"Server-Side Rendering is the process of rendering React components on the server and sending the fully rendered HTML to the client. This improves initial page load performance, SEO, and provides better user experience, especially on slower devices or networks.",react,Remember,1,8
What is Static Site Generation (SSG) in React?,"Static Site Generation is a method where React pages are pre-rendered at build time, generating static HTML files. This provides excellent performance, SEO benefits, and can be served from CDNs. It's ideal for content that doesn't change frequently.",react,Remember,1,7
What is the difference between SSR and SSG?,"SSR (Server-Side Rendering) renders pages on-demand at request time on the server, while SSG (Static Site Generation) pre-renders pages at build time. SSR is better for dynamic content and personalization, while SSG is better for performance and content that changes infrequently.",react,Analyze,4,8
What is hydration in React?,"Hydration is the process of attaching event listeners and making a server-rendered React application interactive on the client side. It connects the static HTML with the React component tree, enabling client-side functionality without re-rendering the entire page.",react,Remember,1,8
What is the useRef hook and its use cases?,"useRef is a React Hook that returns a mutable ref object whose .current property persists across re-renders. It's used for accessing DOM elements directly, storing mutable values that don't trigger re-renders, and maintaining references to previous values.",react,Remember,1,4
What is the difference between useRef and useState?,"useRef returns a mutable object that persists across renders without triggering re-renders when changed. useState returns state and a setter function that triggers re-renders when the state changes. useRef is for mutable values, useState is for reactive state.",react,Analyze,4,5
What is prop drilling and how can you avoid it?,"Prop drilling is passing props through multiple component layers to reach a deeply nested component. It can be avoided using React Context API, state management libraries like Redux, or component composition patterns to reduce unnecessary prop passing.",react,Remember,1,5
What is the Context API and how do you use it?,"The Context API provides a way to share values between components without explicitly passing props through every level of the tree. It consists of createContext, Provider component to supply values, and useContext hook or Consumer component to consume values.",react,Apply,3,5
What are React lifecycle methods?,"React lifecycle methods are special methods in class components that are called at different stages of a component's existence: mounting (componentDidMount), updating (componentDidUpdate), and unmounting (componentWillUnmount). They allow you to hook into these phases to perform side effects.",react,Remember,1,5
What is componentDidUpdate and its use cases?,"componentDidUpdate is a lifecycle method that runs after a component updates due to changes in props or state. It's used for DOM operations after updates, network requests based on prop changes, or updating state based on prop changes with proper comparison to avoid infinite loops.",react,Remember,1,6
What is componentWillUnmount and its use cases?,"componentWillUnmount is a lifecycle method called just before a component is destroyed and unmounted from the DOM. It's used for cleanup activities like canceling network requests, removing event listeners, clearing timers, or unsubscribing from subscriptions to prevent memory leaks.",react,Remember,1,5
What is the useLayoutEffect hook?,"useLayoutEffect is a React Hook that fires synchronously after all DOM mutations but before the browser paints. It's used for DOM measurements, synchronous DOM updates, or when you need to read layout information before the browser paints the screen.",react,Remember,1,7
What is the difference between useEffect and useLayoutEffect?,"useEffect runs asynchronously after the render is committed to the screen, while useLayoutEffect runs synchronously after all DOM mutations but before the browser paints. useLayoutEffect is useful for DOM measurements and preventing visual flickering.",react,Analyze,4,7
What is code splitting in React?,"Code splitting is a technique to split your code into smaller chunks that can be loaded on demand. React supports code splitting through dynamic imports and React.lazy for components, reducing initial bundle size and improving application performance.",react,Remember,1,6
What is React.lazy and how does it work?,"React.lazy is a function that enables dynamic importing of components, allowing you to render them as regular components but load them only when needed. It must be used with Suspense component to handle the loading state while the component is being fetched.",react,Analyze,4,6
What is React Suspense?,React Suspense is a component that allows you to handle loading states declaratively when components are being lazy-loaded or when data is being fetched. It displays a fallback UI while waiting for the suspended component or data to be ready.,react,Remember,1,7
What is the difference between React.createElement and JSX?,"JSX is a syntax extension that gets transpiled to React.createElement calls. JSX provides a more readable and HTML-like syntax, while React.createElement is the underlying function that creates React elements with type, props, and children arguments.",react,Analyze,4,4
What are React Developer Tools?,"React Developer Tools are browser extensions that provide debugging capabilities for React applications. They allow you to inspect the React component tree, view props and state, profile performance, and debug hooks in development mode.",react,Remember,1,3
What is the React Profiler?,The React Profiler is a tool that measures the performance of React applications by tracking how often components render and the cost of rendering. It helps identify performance bottlenecks and optimize component rendering behavior.,react,Remember,1,6
What is React.forwardRef?,React.forwardRef is a function that allows a component to receive a ref and forward it to a child component. It's useful for accessing DOM elements in child components or when creating reusable component libraries that need ref access.,react,Remember,1,7
What is the useImperativeHandle hook?,useImperativeHandle is a React Hook that customizes the instance value that is exposed to parent components when using ref. It allows you to control what methods or properties are accessible from the parent component through the ref.,react,Remember,1,8
What is React.cloneElement?,React.cloneElement is a function that clones a React element and returns a new element with additional or modified props. It's useful for modifying children components or adding props to elements that are passed as children.,react,Remember,1,6
What is the difference between React.Children.map and regular array map?,"React.Children.map is a utility that safely iterates over children props even if they're not an array, handling single children, null, or undefined. Regular array map only works on arrays and would throw errors on non-array children.",react,Analyze,4,6
What is defaultProps in React?,"defaultProps is a property that allows you to define default values for props in React components. If a prop is not provided by the parent component, the default value from defaultProps will be used instead.",react,Remember,1,3
What is propTypes in React?,"propTypes is a type-checking feature that validates the props passed to a component. It helps catch bugs during development by ensuring props have the correct type and structure, providing warnings when prop types don't match expectations.",react,Remember,1,4
What is React.Fragment shorthand syntax?,React.Fragment can be written using the shorthand syntax <></> which allows you to group multiple elements without adding extra DOM nodes. This empty tag syntax is cleaner and more concise than writing React.Fragment explicitly.,react,Remember,1,2
What is the difference between controlled and uncontrolled inputs?,"Controlled inputs have their values controlled by React state, making React the single source of truth. Uncontrolled inputs maintain their own internal state and are accessed via refs. Controlled inputs provide better control and validation capabilities.",react,Analyze,4,4
What is React.createRef?,"React.createRef is a function that creates a ref object for class components. It provides a way to access DOM elements or component instances directly. In functional components, useRef is preferred over createRef.",react,Remember,1,4
What is the difference between React development and production builds?,"Development builds include helpful warnings, error messages, and development tools for debugging. Production builds are optimized, minified, and stripped of development warnings for better performance and smaller bundle sizes.",react,Analyze,4,3
What is React Hot Reload?,"React Hot Reload is a development feature that allows you to see changes in your React components immediately without losing the current state. It updates components in real-time as you edit the code, improving development productivity.",react,Remember,1,4
What is the purpose of displayName in React components?,"displayName is a string property used by React DevTools to identify components in the component tree. It's especially useful for higher-order components, anonymous functions, or when you want to customize how components appear in debugging tools.",react,Remember,1,3
What is React.isValidElement?,"React.isValidElement is a utility function that checks whether a given value is a valid React element. It returns true if the value is a React element created by React.createElement, JSX, or React.cloneElement.",react,Remember,1,4
What is the difference between React.Component and function components?,"React.Component is a class-based approach with lifecycle methods and built-in state management. Function components are simpler, use hooks for state and effects, have better performance, and are the preferred modern approach for React development.",react,Analyze,4,4
What is React.StrictMode's double rendering?,"React.StrictMode intentionally double-invokes functions like constructors, render methods, and state updaters in development mode to help detect side effects. This helps identify components that don't behave consistently and promotes pure function practices.",react,Remember,1,6
What is the difference between shallow and deep comparison in React?,"Shallow comparison checks if primitive values are equal and if objects/arrays have the same reference. Deep comparison recursively checks all nested properties. React uses shallow comparison by default for performance, but deep comparison is more thorough but expensive.",react,Analyze,4,6
What is React Concurrent Mode?,"React Concurrent Mode is a set of features that help React apps stay responsive by making rendering interruptible. It allows React to pause work and prioritize more urgent updates, improving user experience for complex applications.",react,Remember,1,9
What is the useDebugValue hook?,"useDebugValue is a React Hook that allows you to display a label for custom hooks in React DevTools. It helps with debugging by providing meaningful names and values for custom hooks, making development and debugging easier.",react,Remember,1,5
What is React.startTransition?,"React.startTransition is a function that marks updates as non-urgent, allowing React to prioritize other updates. It's used to improve perceived performance by keeping the UI responsive during expensive operations or state updates.",react,Remember,1,8
What is the useDeferredValue hook?,useDeferredValue is a React Hook that defers updating a value until more urgent updates have finished. It's useful for optimizing expensive renders by allowing React to prioritize user interactions over heavy computational updates.,react,Remember,1,8
What is React.useSyncExternalStore?,useSyncExternalStore is a React Hook that allows you to subscribe to external stores like state management libraries. It ensures that the component stays in sync with external data sources and handles concurrent rendering safely.,react,Remember,1,9
What is the difference between React.render and ReactDOM.render?,"React.render is deprecated and was used in older versions. ReactDOM.render is the current method for rendering React elements into the DOM. In React 18+, ReactDOM.createRoot with root.render is the recommended approach for new applications.",react,Analyze,4,5
What is React.createRoot?,React.createRoot is the new root API introduced in React 18 that enables concurrent features. It replaces ReactDOM.render and provides better performance with features like automatic batching and concurrent rendering capabilities.,react,Remember,1,7
What is automatic batching in React?,"Automatic batching is a React 18 feature that groups multiple state updates into a single re-render for better performance. It works for promises, timeouts, and native event handlers, not just React event handlers like in previous versions.",react,Remember,1,7
What is the difference between client-side and server-side rendering?,"Client-side rendering (CSR) renders components in the browser using JavaScript, while server-side rendering (SSR) renders components on the server and sends HTML to the client. SSR provides better SEO and initial load performance, while CSR offers more interactivity.",react,Analyze,4,6
What is React.unstable_batchedUpdates?,"React.unstable_batchedUpdates is a legacy API that manually batches state updates to prevent multiple re-renders. It's mostly unnecessary in React 18+ due to automatic batching, but was used in earlier versions for performance optimization.",react,Remember,1,6
What is the difference between React.Fragment and div wrapper?,"React.Fragment groups elements without adding extra DOM nodes, while div wrapper adds an additional DOM element. Fragment is better for semantic HTML, CSS layouts, and performance as it doesn't affect the DOM structure or styling.",react,Analyze,4,3
What is React.Children.only?,"React.Children.only is a utility that verifies that children prop contains only one child element and returns it. If children contains more than one child or is not a valid element, it throws an error.",react,Remember,1,5
What is React.Children.count?,"React.Children.count is a utility function that returns the number of components in the children prop. It safely counts children even if they're not in an array format, handling null and undefined values correctly.",react,Remember,1,4
What is React.Children.toArray?,"React.Children.toArray is a utility that converts the children prop to a flat array, assigning keys to each child. It's useful when you need to manipulate children as an array, such as sorting or filtering them.",react,Remember,1,5
What is the difference between React.createElement and JSX transpilation?,"JSX is syntactic sugar that gets transpiled to React.createElement calls by tools like Babel. JSX provides a more readable, HTML-like syntax, while React.createElement is the underlying function that actually creates React elements with explicit parameters.",react,Analyze,4,4
What is React.version?,"React.version is a string property that contains the version number of the React library being used. It's useful for debugging, logging, or conditional logic based on React version in development tools or libraries.",react,Remember,1,2
What is the difference between React.render and hydrate?,"React.render creates a new React tree and replaces the target DOM node. hydrate is used for server-side rendered content, attaching event listeners to existing HTML without replacing it. hydrate is more efficient for SSR applications.",react,Analyze,4,8
What is React.unstable_act?,React.unstable_act is a testing utility that ensures all updates triggered by its callback are processed before continuing. It's used in testing to make sure all state updates and effects are completed before making assertions.,react,Remember,1,6
What is the difference between React.render and createPortal?,"React.render mounts a component tree to a DOM node, while createPortal renders children into a different DOM node while maintaining the React tree hierarchy. Portals are useful for modals, tooltips, and overlays that need to escape their parent container.",react,Analyze,4,6
What is React.lazy loading and its benefits?,"React.lazy loading allows components to be loaded dynamically only when needed, reducing initial bundle size. Benefits include faster initial page loads, better performance, reduced bandwidth usage, and improved user experience, especially for large applications.",react,Remember,1,5
What is the difference between React.memo and useMemo?,"React.memo is a higher-order component that memoizes the entire component based on props. useMemo is a hook that memoizes a computed value based on dependencies. React.memo prevents re-renders, while useMemo prevents expensive calculations.",react,Analyze,4,6
What is React.Suspense boundary?,"React.Suspense boundary is a component that catches suspense from lazy-loaded components or data fetching and displays a fallback UI. It creates a boundary where loading states are handled declaratively, improving user experience during async operations.",react,Remember,1,7
What is the difference between React.Component and React.PureComponent performance?,"React.Component always re-renders when parent re-renders, regardless of prop changes. React.PureComponent implements shallow comparison in shouldComponentUpdate, only re-rendering when props or state actually change, providing better performance for components with stable props.",react,Analyze,4,6
What is React.createContext default value?,"React.createContext accepts a default value that's used when a component doesn't have a matching Provider above it in the tree. This default value is only used when there's no Provider, not when Provider has undefined value.",react,Remember,1,4
